Date,Campaign Advertiser ID,Campaign Advertiser,Campaign Key,Campaign Name,Adgroup Name,Creative Name,Impressions,Clicks,Media Cost,Video Views,Video 25%,Video 75%,Video 100%,Video 50%
1/01/2022,2001291897,ADVERTISER7614,19320424037,CAMPAIGN54947,ADGROUP0934691,CREATIVE4353507,2551067,12783,603.521285,0,0,0,0,0
2/01/2022,2001291897,ADVERTISER7614,19320424037,CAMPAIGN54947,ADGROUP0934691,CREATIVE4353507,2551067,12780,603.521285,0,0,0,0,0
3/01/2022,5954571560,ADVERTISER7671,19313191353,CAMPAIGN55006,ADGROUP0934718,CREATIVE4353507,1393926,3657,304.5057396,0,0,0,0,0
4/01/2022,5954571560,ADVERTISER7671,19313191353,CAMPAIGN55006,ADGROUP0934718,CREATIVE4353507,1393926,3657,304.5057396,0,0,0,0,0
5/01/2022,7946064592,ADVERTISER7551,19240904570,CAMPAIGN54797,ADGROUP0934583,CREATIVE4353505,6787327,17794,1607.222785,0,0,0,0,0
6/01/2022,7946064592,ADVERTISER7551,19240904570,CAMPAIGN54797,ADGROUP0934583,CREATIVE4353586,973705,2306,230.5150146,0,0,0,0,0
7/01/2022,5736076970,ADVERTISER7620,19178014969,CAMPAIGN54888,ADGROUP0934670,CREATIVE4353530,3881395,11056,747.5626352,0,0,0,0,0
8/01/2022,5736076970,ADVERTISER7620,19178014969,CAMPAIGN54888,ADGROUP0934743,CREATIVE4353530,708821,1677,139.3494232,0,0,0,0,0
9/01/2022,1997190441,ADVERTISER7593,19163659120,CAMPAIGN55059,ADGROUP0934757,CREATIVE4353512,536382,1117,103.7306844,0,0,0,0,0
10/01/2022,1997190441,ADVERTISER7593,19163659120,CAMPAIGN55059,ADGROUP0934781,CREATIVE4353512,159642,524,27.3181552,0,0,0,0,0
11/01/2022,1997190441,ADVERTISER7593,19163659120,CAMPAIGN55059,ADGROUP0934757,CREATIVE4353692,68875,127,13.504893,0,0,0,0,0
12/01/2022,1997190441,ADVERTISER7593,19163659120,CAMPAIGN55059,ADGROUP0934781,CREATIVE4353692,19054,51,3.3255034,0,0,0,0,0
13/01/2022,1997190441,ADVERTISER7593,19163583100,CAMPAIGN55057,ADGROUP0934757,CREATIVE4353512,557503,1086,100.7825654,0,0,0,0,0
14/01/2022,1997190441,ADVERTISER7593,19163583100,CAMPAIGN55057,ADGROUP0934781,CREATIVE4353512,235033,682,41.8778422,0,0,0,0,0
15/01/2022,1997190441,ADVERTISER7593,19163583100,CAMPAIGN55057,ADGROUP0934757,CREATIVE4353692,75138,118,13.736994,0,0,0,0,0
16/01/2022,1997190441,ADVERTISER7593,19163583100,CAMPAIGN55057,ADGROUP0934781,CREATIVE4353692,25789,57,4.6984584,0,0,0,0,0
17/01/2022,3672908325,ADVERTISER7581,19163474540,CAMPAIGN55032,ADGROUP0934622,CREATIVE4353588,895621,2744,182.2152046,0,0,0,0,0
18/01/2022,3672908325,ADVERTISER7581,19163474540,CAMPAIGN55032,ADGROUP0934622,CREATIVE4353646,243195,577,45.6606038,0,0,0,0,0
19/01/2022,3672908325,ADVERTISER7581,19163474540,CAMPAIGN55032,ADGROUP0934622,CREATIVE4353668,108425,271,21.0899706,0,0,0,0,0
20/01/2022,3672908325,ADVERTISER7581,19163474540,CAMPAIGN55032,ADGROUP0934622,CREATIVE4353693,45639,105,9.4456752,27803,27042.11683,19347.99798,16981.27972,26373.22194
21/01/2022,3672908325,ADVERTISER7581,19163474540,CAMPAIGN55032,ADGROUP0934622,CREATIVE4353701,36253,158,8.4463832,17438,16792.00563,10378.23871,8417.167186,16216.7195
22/01/2022,1942457078,ADVERTISER7591,19163415017,CAMPAIGN55040,ADGROUP0934622,CREATIVE4353588,753254,1781,155.4048238,0,0,0,0,0
23/01/2022,1942457078,ADVERTISER7591,19163415017,CAMPAIGN55040,ADGROUP0934622,CREATIVE4353646,187210,389,35.7645564,0,0,0,0,0
24/01/2022,1942457078,ADVERTISER7591,19163415017,CAMPAIGN55040,ADGROUP0934622,CREATIVE4353668,88585,197,17.4413842,0,0,0,0,0
25/01/2022,1942457078,ADVERTISER7591,19163415017,CAMPAIGN55040,ADGROUP0934622,CREATIVE4353693,71160,174,13.052174,41122,39900.35992,27310.64812,23803.48935,38950.90171
26/01/2022,1942457078,ADVERTISER7591,19163415017,CAMPAIGN55040,ADGROUP0934622,CREATIVE4353701,17936,52,3.5158248,10291,10017.3154,6931.621934,5916.062723,9798.711976
27/01/2022,3510655313,ADVERTISER7682,19120889182,CAMPAIGN55058,ADGROUP0934592,CREATIVE4353562,552731,3063,53.7526122,346434,334856.9717,239813.9006,217203.2517,302053.1979
28/01/2022,3510655313,ADVERTISER7682,19120889182,CAMPAIGN55058,ADGROUP0934592,CREATIVE4353498,180548,425,30.1694364,0,0,0,0,0
29/01/2022,3510655313,ADVERTISER7682,19115258073,CAMPAIGN55087,ADGROUP0934592,CREATIVE4353498,320688,13,47.9785912,0,0,0,0,0
30/01/2022,9139885703,ADVERTISER7594,19108118290,CAMPAIGN55064,ADGROUP0934759,CREATIVE4353514,504589,312,65.9333228,59321,58020.87071,52164.82222,51125.09499,54176.67795
31/01/2022,9139885703,ADVERTISER7594,19108118290,CAMPAIGN55064,ADGROUP0934791,CREATIVE4353514,171033,182,28.3458486,21380,20797.97618,19101.78176,18737.39185,19706.43151
1/02/2022,9139885703,ADVERTISER7594,19108118290,CAMPAIGN55064,ADGROUP0934759,CREATIVE4353636,116744,48,12.6224148,64626,63288.57438,38424.96863,35890.17066,43382.18982
2/02/2022,9139885703,ADVERTISER7594,19108118290,CAMPAIGN55064,ADGROUP0934791,CREATIVE4353636,35255,13,4.899346,21295,20780.97234,13678.20947,12911.6982,15118.21174
3/02/2022,2444114321,ADVERTISER7623,19102343211,CAMPAIGN55083,ADGROUP0934759,CREATIVE4353514,342733,51,37.157148,0,0,0,0,0
4/02/2022,2444114321,ADVERTISER7623,19102343211,CAMPAIGN55083,ADGROUP0934791,CREATIVE4353514,139593,72,24.2321812,0,0,0,0,0
5/02/2022,8458271135,ADVERTISER7637,19101350843,CAMPAIGN55042,ADGROUP0934742,CREATIVE4353554,718123,2756,147.7787828,238870,226909.9183,88902.9632,78999.20663,109277.9449
6/02/2022,2069933731,ADVERTISER7634,19101034457,CAMPAIGN55097,ADGROUP0934778,CREATIVE4353554,263522,644,59.95466,92468,87517.25201,36064.77273,32375.83563,43506.50945
7/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934799,CREATIVE4353639,134833,303,25.1025628,52955,49538.11763,23393.86185,20860.65596,27981.51736
8/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353639,81890,291,15.6838502,40969,38047.78873,22411.62893,20523.52286,25573.98146
9/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934799,CREATIVE4353631,19324,53,3.3148426,11598,11048.22935,7499.927965,6923.148934,8364.196233
10/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353592,17175,88,3.0379666,9263,8844.479592,5329.663231,4985.031092,5959.601164
11/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934827,CREATIVE4353592,10175,18,1.5529192,6572,6411.817592,4512.880983,4253.230467,4924.963145
12/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353631,8952,37,1.7121502,4311,3899.740617,2262.889745,2058.704759,2567.240952
13/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353687,8802,39,1.7772186,4444,4099.163372,2461.820495,2235.127017,2821.298796
14/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934799,CREATIVE4353700,5356,20,1.0244902,2294,2165.508588,1113.592233,988.5272591,1320.89171
15/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934799,CREATIVE4353687,5188,11,0.9348254,2305,2131.28084,1132.062452,1019.211642,1324.441981
16/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934799,CREATIVE4353678,4278,3,0.8681756,1791,1669.171809,836.8884993,745.2033661,980.486676
17/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353700,3506,17,0.6806186,1805,1695.855676,1020.396463,931.3305762,1151.678551
18/02/2022,2983210886,ADVERTISER7655,19100990042,CAMPAIGN55115,ADGROUP0934809,CREATIVE4353678,2337,9,0.5079884,1174,1094.125802,652.0547711,585.2417629,731.9289688
19/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934773,CREATIVE4353524,298595,414,61.245565,0,0,0,0,0
20/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353524,89060,143,18.6618118,0,0,0,0,0
21/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934773,CREATIVE4353585,22973,42,3.8018578,15634,15265.14839,11279.91773,10647.69791,12634.86893
22/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934823,CREATIVE4353639,20430,13,4.2797768,10203,9675.620264,5519.50837,5125.471806,6274.620264
23/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353585,8745,1,1.1475336,7703,7627.247227,6966.612579,6807.179417,7223.819668
24/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934773,CREATIVE4353657,7973,13,1.3839764,4863,4706.247084,3139.93779,2974.035871,3417.457544
25/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934823,CREATIVE4353631,3594,1,0.7434704,2044,1916.036728,1235.840846,1159.062883,1357.548136
26/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353657,2125,0,0.3734018,1515,1478.64,1125.734118,1083.670588,1183.482353
27/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353639,1921,1,0.492067,852,803.6564289,414.6902655,378.7652264,486.0968246
28/02/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934823,CREATIVE4353687,1795,1,0.4180128,821,756.0518106,409.356546,373.6807799,468.816156
1/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934823,CREATIVE4353700,1025,0,0.241859,505,477.4097561,266.5414634,249.297561,296.102439
2/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934823,CREATIVE4353678,804,2,0.2036412,321,302.6343284,147.7238806,126.9626866,169.6828358
3/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353631,313,0,0.0665364,196,183.4760383,127.7444089,121.4824281,138.3897764
4/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353687,243,0,0.0633738,134,125.1769547,78.85596708,73.89300412,89.33333333
5/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353700,207,0,0.0489692,125,118.9613527,77.29468599,75.48309179,80.9178744
6/03/2022,8983780819,ADVERTISER7608,19100535734,CAMPAIGN55090,ADGROUP0934807,CREATIVE4353678,112,0,0.0337578,51,45.99107143,25.5,23.22321429,29.14285714
7/03/2022,8983780819,ADVERTISER7608,19100461151,CAMPAIGN55093,ADGROUP0934774,CREATIVE4353554,282831,357,57.862003,121957,116438.0589,57652.86256,52689.30826,67176.36706
8/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934731,CREATIVE4353584,1003573,3478,161.2149316,0,0,0,0,0
9/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934768,CREATIVE4353564,336557,776,57.7112896,118636,113003.4188,46475.22833,41725.65704,55957.45095
10/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353584,256799,1269,42.7652676,0,0,0,0,0
11/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934789,CREATIVE4353639,178117,265,33.6420968,66241,62470.34645,27674.64091,24663.77089,33253.45282
12/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934731,CREATIVE4353660,148566,283,21.5506774,90035,87977.5385,58405.24137,54668.47919,64293.39923
13/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934789,CREATIVE4353631,50179,80,9.2797996,22584,21436.77475,11165.75571,10079.28974,12997.98561
14/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353564,35010,45,4.8074288,20516,19962.22622,12692.26061,12033.59212,13970.92134
15/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353660,33020,68,4.421405,24231,23812.71805,18564.38031,17830.55233,19663.65463
16/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934789,CREATIVE4353687,8329,20,1.5358028,3342,3075.972146,1487.027494,1330.139272,1753.857846
17/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934789,CREATIVE4353700,8220,11,1.5823508,3272,3105.613625,1454.885645,1303.625304,1717.20292
18/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934789,CREATIVE4353678,7591,8,1.5471478,2767,2585.838229,1139.09564,1002.404163,1346.866684
19/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353639,7154,13,1.3179246,2148,2023.095331,741.3212189,646.4417109,926.2762091
20/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353631,582,1,0.0866624,332,320.5910653,201.3676976,189.9587629,221.3333333
21/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353687,490,1,0.076544,232,218.2693878,116.9469388,109.844898,129.7306122
22/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353700,459,0,0.0764202,217,206.1263617,111.5729847,102.5904139,125.2832244
23/03/2022,8458271135,ADVERTISER7637,19100281897,CAMPAIGN55027,ADGROUP0934779,CREATIVE4353678,324,0,0.0571714,135,130,63.75,56.25,68.33333333
24/03/2022,3886478754,ADVERTISER7639,19100098501,CAMPAIGN55105,ADGROUP0934785,CREATIVE4353524,215240,244,35.822596,0,0,0,0,0
25/03/2022,3886478754,ADVERTISER7639,19100098501,CAMPAIGN55105,ADGROUP0934801,CREATIVE4353524,131160,293,24.6686548,0,0,0,0,0
26/03/2022,3886478754,ADVERTISER7639,19100098501,CAMPAIGN55105,ADGROUP0934801,CREATIVE4353585,60363,137,7.4103682,45208,44268.83475,35375.22443,33880.34896,38490.04761
