plataforma,fecha,campaña,impresiones,clics,costo
Google Ads,2022-01-01,CAMPAIGN955143,671,123,9.49
Google Ads,2022-01-02,CAMPAIGN955143,202,36,1.74
Google Ads,2022-01-03,CAMPAIGN955143,95,16,1.276
Google Ads,2022-01-04,CAMPAIGN954688,6688615,16894,1188.1906842
Google Ads,2022-01-05,CAMPAIGN954688,3452666,7604,621.7023004000001
Google Ads,2022-01-06,CAMPAIGN954688,3020719,7064,572.9197272
Google Ads,2022-01-07,CAMPAIGN954868,6151,2266,105.61800000000001
Google Ads,2022-01-08,CAMPAIGN954868,5579,2517,84.274
Google Ads,2022-01-09,CAMPAIGN955257,9,3,0.084
Google Ads,2022-01-10,CAMPAIGN954992,2620,726,20.584000000000003
Google Ads,2022-01-11,CAMPAIGN954992,135,21,2.236
Google Ads,2022-01-12,CAMPAIGN954992,81,28,1.576
Google Ads,2022-01-13,CAMPAIGN954992,21,7,0.382
Google Ads,2022-01-14,CAMPAIGN955145,666,150,15.482
Google Ads,2022-01-15,CAMPAIGN955269,5,2,0.24
Google Ads,2022-01-16,CAMPAIGN955086,1311,245,18.35
Google Ads,2022-01-17,CAMPAIGN955086,1171,221,11.348
Google Ads,2022-01-18,CAMPAIGN955086,35,8,0.5900000000000001
Google Ads,2022-01-19,CAMPAIGN955101,1123,320,16.516000000000002
Google Ads,2022-01-20,CAMPAIGN955213,145,39,3.2640000000000002
Google Ads,2022-01-21,CAMPAIGN955101,93,38,1.8419999999999999
Google Ads,2022-01-22,CAMPAIGN954824,9689,1646,180.0
Google Ads,2022-01-23,CAMPAIGN954824,525,137,10.584000000000001
Google Ads,2022-01-24,CAMPAIGN954810,10620,1832,201.832
Google Ads,2022-01-25,CAMPAIGN955041,1824,412,23.874000000000002
Google Ads,2022-01-26,CAMPAIGN955041,102,23,1.6900000000000004
Google Ads,2022-01-27,CAMPAIGN955258,9,1,0.084
Google Ads,2022-01-28,CAMPAIGN954727,32436,3025,178.87400000000002
Google Ads,2022-01-29,CAMPAIGN955042,1814,366,5.728000000000001
Google Ads,2022-01-30,CAMPAIGN954862,6520,820,74.492
Google Ads,2022-01-31,CAMPAIGN954862,847,115,10.4
Google Ads,2022-02-01,CAMPAIGN955219,127,11,0.786
Google Ads,2022-02-02,CAMPAIGN954957,3237,586,38.934
Google Ads,2022-02-03,CAMPAIGN955175,346,62,5.734000000000001
Google Ads,2022-02-04,CAMPAIGN954957,196,48,2.8020000000000005
Google Ads,2022-02-05,CAMPAIGN954803,11687,1865,219.216
Google Ads,2022-02-06,CAMPAIGN954850,7100,1240,136.098
Google Ads,2022-02-07,CAMPAIGN954850,3004,463,44.86000000000001
Google Ads,2022-02-08,CAMPAIGN955054,1625,345,20.714
Google Ads,2022-02-09,CAMPAIGN955198,236,33,3.5520000000000005
Google Ads,2022-02-10,CAMPAIGN955054,85,20,1.8780000000000001
Google Ads,2022-02-11,CAMPAIGN955023,2055,497,24.634
Google Ads,2022-02-12,CAMPAIGN955023,401,89,4.014
Google Ads,2022-02-13,CAMPAIGN955023,154,36,2.7940000000000005
Google Ads,2022-02-14,CAMPAIGN954800,11827,2064,220.03000000000003
Google Ads,2022-02-15,CAMPAIGN954794,12173,2177,213.12400000000002
Google Ads,2022-02-16,CAMPAIGN954895,4861,1156,60.71000000000001
Google Ads,2022-02-17,CAMPAIGN954895,528,119,9.136000000000001
Google Ads,2022-02-18,CAMPAIGN955262,7,2,0.18000000000000002
Google Ads,2022-02-19,CAMPAIGN954826,9549,3955,143.798
Google Ads,2022-02-20,CAMPAIGN954826,1416,430,18.206
Google Ads,2022-02-21,CAMPAIGN955250,18,1,0.036
Google Ads,2022-02-22,CAMPAIGN954806,11501,4651,183.32800000000003
Google Ads,2022-02-23,CAMPAIGN954806,6820,2509,145.59199999999998
Google Ads,2022-02-24,CAMPAIGN955273,3,1,0.098
Google Ads,2022-02-25,CAMPAIGN955273,1,1,0.014000000000000002
Google Ads,2022-02-26,CAMPAIGN954995,2606,628,52.878
Google Ads,2022-02-27,CAMPAIGN954995,2076,463,13.158000000000001
Google Ads,2022-02-28,CAMPAIGN954995,167,52,3.186
Google Ads,2022-03-01,CAMPAIGN954995,56,13,1.014
Google Ads,2022-03-02,CAMPAIGN954998,2529,612,18.859999999999996
Google Ads,2022-03-03,CAMPAIGN954998,1046,322,28.31
Google Ads,2022-03-04,CAMPAIGN954998,479,131,10.863999999999999
Google Ads,2022-03-05,CAMPAIGN954998,36,14,1.1260000000000001
Google Ads,2022-03-06,CAMPAIGN954769,16648,3809,217.538
Google Ads,2022-03-07,CAMPAIGN954769,9784,2522,163.692
Google Ads,2022-03-08,CAMPAIGN954722,37025,6604,209.90200000000002
Google Ads,2022-03-09,CAMPAIGN954722,29534,5956,197.204
Google Ads,2022-03-10,CAMPAIGN954705,70034,18105,394.50199999999995
Google Ads,2022-03-11,CAMPAIGN954705,62410,10444,322.03400000000005
Google Ads,2022-03-12,CAMPAIGN954756,19453,4264,96.38400000000001
Google Ads,2022-03-13,CAMPAIGN954756,18554,4695,107.434
Google Ads,2022-03-14,CAMPAIGN954733,27018,5921,573.134
Google Ads,2022-03-15,CAMPAIGN954733,23739,3089,309.1120000000001
Google Ads,2022-03-16,CAMPAIGN954733,5651,806,65.332
Google Ads,2022-03-17,CAMPAIGN955028,2009,489,16.514
Google Ads,2022-03-18,CAMPAIGN955028,1960,396,30.227999999999998
Google Ads,2022-03-19,CAMPAIGN955061,1551,469,13.578000000000001
Google Ads,2022-03-20,CAMPAIGN954835,8455,1163,140.01000000000002
Google Ads,2022-03-21,CAMPAIGN954835,8134,1412,157.024
Google Ads,2022-03-22,CAMPAIGN954920,3997,650,53.38400000000001
Google Ads,2022-03-23,CAMPAIGN954947,3481,507,52.814000000000014
Google Ads,2022-03-24,CAMPAIGN954920,2357,558,64.05
Google Ads,2022-03-25,CAMPAIGN954896,4798,952,40.888
Google Ads,2022-03-26,CAMPAIGN954896,471,87,11.112000000000002
Google Ads,2022-03-27,CAMPAIGN954746,21061,2903,236.654
Google Ads,2022-03-28,CAMPAIGN954746,4058,718,80.65
Google Ads,2022-03-29,CAMPAIGN954966,3086,642,29.392000000000003
Google Ads,2022-03-30,CAMPAIGN954966,3072,709,31.698000000000004
Google Ads,2022-03-31,CAMPAIGN955215,139,23,0.776
Google Ads,2022-04-01,CAMPAIGN954839,8141,1973,118.886
Google Ads,2022-04-02,CAMPAIGN954839,6025,1270,68.34000000000002
Google Ads,2022-04-03,CAMPAIGN954807,11330,2179,96.36
Google Ads,2022-04-04,CAMPAIGN954807,9555,1944,86.07400000000001
Google Ads,2022-04-05,CAMPAIGN954760,18292,3764,250.12200000000004
Google Ads,2022-04-06,CAMPAIGN954760,12134,1944,177.52200000000005
Google Ads,2022-04-07,CAMPAIGN954787,13191,3142,178.246
Google Ads,2022-04-08,CAMPAIGN954787,7736,1798,190.21
Google Ads,2022-04-09,CAMPAIGN954787,291,32,0.862
Google Ads,2022-04-10,CAMPAIGN954764,17676,5627,116.71600000000001
Google Ads,2022-04-11,CAMPAIGN954764,9292,2609,41.352000000000004
Google Ads,2022-04-12,CAMPAIGN954764,3928,881,17.416
Google Ads,2022-04-13,CAMPAIGN954764,3232,686,16.806
Google Ads,2022-04-14,CAMPAIGN954764,1153,297,4.312
Google Ads,2022-04-15,CAMPAIGN955109,987,219,8.062000000000001
Google Ads,2022-04-16,CAMPAIGN955109,195,63,2.734
Google Ads,2022-04-17,CAMPAIGN955109,92,19,0.8320000000000001
Google Ads,2022-04-18,CAMPAIGN955109,30,5,0.16200000000000003
Google Ads,2022-04-19,CAMPAIGN954821,9822,3981,53.09400000000001
Google Ads,2022-04-20,CAMPAIGN954821,5551,1486,21.822000000000003
Google Ads,2022-04-21,CAMPAIGN954821,4786,1456,17.314
Google Ads,2022-04-22,CAMPAIGN954821,1183,235,4.3740000000000006
Google Ads,2022-04-23,CAMPAIGN954821,1074,273,2.49
Google Ads,2022-04-24,CAMPAIGN954790,12861,3899,131.996
Google Ads,2022-04-25,CAMPAIGN954790,8683,2277,61.42400000000001
Google Ads,2022-04-26,CAMPAIGN954790,2631,504,22.342
Google Ads,2022-04-27,CAMPAIGN954790,1874,511,17.694
Google Ads,2022-04-28,CAMPAIGN954790,598,161,5.0440000000000005
Google Ads,2022-04-29,CAMPAIGN955160,506,77,5.428000000000001
Google Ads,2022-04-30,CAMPAIGN955160,161,51,3.2140000000000004
Google Ads,2022-05-01,CAMPAIGN955160,117,24,1.118
Google Ads,2022-05-02,CAMPAIGN955160,34,7,0.47800000000000004
Google Ads,2022-05-03,CAMPAIGN955160,12,4,0.16200000000000003
Google Ads,2022-05-04,CAMPAIGN955055,1613,282,18.401999999999997
Google Ads,2022-05-05,CAMPAIGN955055,205,16,1.566
Google Ads,2022-05-06,CAMPAIGN955055,82,8,0.43200000000000005
Google Ads,2022-05-07,CAMPAIGN955055,55,4,0.19
Google Ads,2022-05-08,CAMPAIGN955055,46,6,0.52
Google Ads,2022-05-09,CAMPAIGN955055,38,3,0.4800000000000001
Google Ads,2022-05-10,CAMPAIGN955055,3,1,0.08000000000000002
Google Ads,2022-05-11,CAMPAIGN955189,274,23,2.8640000000000003
Google Ads,2022-05-12,CAMPAIGN955189,38,5,0.656
Google Ads,2022-05-13,CAMPAIGN955189,37,8,0.46799999999999997
Google Ads,2022-05-14,CAMPAIGN955189,13,0,0.0
Google Ads,2022-05-15,CAMPAIGN955189,11,5,0.41200000000000003
Google Ads,2022-05-16,CAMPAIGN955189,3,1,0.08800000000000001
Google Ads,2022-05-17,CAMPAIGN955016,2241,459,26.194000000000003
Google Ads,2022-05-18,CAMPAIGN955016,317,68,3.99
Google Ads,2022-05-19,CAMPAIGN955016,81,25,1.262
Google Ads,2022-05-20,CAMPAIGN955026,2016,200,16.938
Google Ads,2022-05-21,CAMPAIGN955026,217,44,4.988
Google Ads,2022-05-22,CAMPAIGN955026,143,9,1.1680000000000001
Google Ads,2022-05-23,CAMPAIGN955026,76,16,0.9560000000000001
Google Ads,2022-05-24,CAMPAIGN955026,20,1,0.11000000000000001
Google Ads,2022-05-25,CAMPAIGN955026,12,1,0.47400000000000003
Google Ads,2022-05-26,CAMPAIGN955026,10,0,0.0
Google Ads,2022-05-27,CAMPAIGN955152,605,66,18.112000000000002
Google Ads,2022-05-28,CAMPAIGN955152,60,17,2.222
Google Ads,2022-05-29,CAMPAIGN955152,34,2,0.27799999999999997
Google Ads,2022-05-30,CAMPAIGN955152,20,1,0.20400000000000001
Google Ads,2022-05-31,CAMPAIGN955152,15,3,1.252
Google Ads,2022-06-01,CAMPAIGN955132,790,133,21.608
Google Ads,2022-06-02,CAMPAIGN955132,108,8,1.988
Google Ads,2022-06-03,CAMPAIGN955132,54,13,1.4180000000000001
Google Ads,2022-06-04,CAMPAIGN955168,401,46,10.316
Google Ads,2022-06-05,CAMPAIGN955168,41,4,0.6900000000000001
Google Ads,2022-06-06,CAMPAIGN955168,26,5,0.934
Google Ads,2022-06-07,CAMPAIGN955168,5,2,0.27799999999999997
Google Ads,2022-06-08,CAMPAIGN955168,4,0,0.0
Google Ads,2022-06-09,CAMPAIGN955168,2,0,0.0
Google Ads,2022-06-10,CAMPAIGN955168,2,0,0.0
Google Ads,2022-06-11,CAMPAIGN955168,1,0,0.0
Google Ads,2022-06-12,CAMPAIGN955168,1,0,0.0
Google Ads,2022-06-13,CAMPAIGN955114,972,181,21.298000000000002
Google Ads,2022-06-14,CAMPAIGN955114,180,27,3.532
Google Ads,2022-06-15,CAMPAIGN955114,57,2,0.27
Google Ads,2022-06-16,CAMPAIGN955114,28,4,0.634
Google Ads,2022-06-17,CAMPAIGN955114,19,0,0.0
Google Ads,2022-06-18,CAMPAIGN955114,3,2,0.236
Google Ads,2022-06-19,CAMPAIGN955114,2,0,0.0
Google Ads,2022-06-20,CAMPAIGN955114,2,0,0.0
Google Ads,2022-06-21,CAMPAIGN955181,324,60,5.034
Google Ads,2022-06-22,CAMPAIGN955181,174,34,2.902
Google Ads,2022-06-23,CAMPAIGN955181,41,5,0.43200000000000005
Google Ads,2022-06-24,CAMPAIGN955181,22,4,0.32800000000000007
Google Ads,2022-06-25,CAMPAIGN955181,8,0,0.0
Google Ads,2022-06-26,CAMPAIGN955181,4,0,0.0
Google Ads,2022-06-27,CAMPAIGN955243,34,4,0.184
Google Ads,2022-06-28,CAMPAIGN955243,4,0,0.0
Google Ads,2022-06-29,CAMPAIGN955243,3,0,0.0
Google Ads,2022-06-30,CAMPAIGN955243,2,1,0.08600000000000001
Google Ads,2022-07-01,CAMPAIGN955243,2,0,0.0
Google Ads,2022-07-02,CAMPAIGN955090,1271,219,21.036
Google Ads,2022-07-03,CAMPAIGN955090,170,28,2.5220000000000002
Google Ads,2022-07-04,CAMPAIGN955090,115,7,0.6280000000000001
Google Ads,2022-07-05,CAMPAIGN955090,51,3,0.268
Google Ads,2022-07-06,CAMPAIGN955090,21,0,0.0
Google Ads,2022-07-07,CAMPAIGN955090,19,4,0.30600000000000005
Google Ads,2022-07-08,CAMPAIGN955080,1352,202,21.474000000000004
Google Ads,2022-07-09,CAMPAIGN955080,250,20,2.72
Google Ads,2022-07-10,CAMPAIGN955080,68,4,0.40199999999999997
Google Ads,2022-07-11,CAMPAIGN955080,29,0,0.0
Google Ads,2022-07-12,CAMPAIGN955080,22,0,0.0
Google Ads,2022-07-13,CAMPAIGN955080,20,0,0.0
Google Ads,2022-07-14,CAMPAIGN955185,303,22,2.272
Google Ads,2022-07-15,CAMPAIGN955185,25,1,0.09000000000000001
Google Ads,2022-07-16,CAMPAIGN955185,15,1,0.296
Google Ads,2022-07-17,CAMPAIGN955185,1,0,0.0
Google Ads,2022-07-18,CAMPAIGN955221,123,12,4.204
Google Ads,2022-07-19,CAMPAIGN955221,31,1,0.08600000000000001
Google Ads,2022-07-20,CAMPAIGN955221,3,0,0.0
Google Ads,2022-07-21,CAMPAIGN955221,1,1,0.12
Google Ads,2022-07-22,CAMPAIGN955117,952,114,10.196000000000002
Google Ads,2022-07-23,CAMPAIGN955117,542,114,10.580000000000002
Google Ads,2022-07-24,CAMPAIGN955117,321,45,3.8560000000000003
Google Ads,2022-07-25,CAMPAIGN955117,161,27,3.2020000000000004
Google Ads,2022-07-26,CAMPAIGN955117,125,4,0.372
Google Ads,2022-07-27,CAMPAIGN955117,12,0,0.0
Google Ads,2022-07-28,CAMPAIGN955050,1663,207,11.538
Google Ads,2022-07-29,CAMPAIGN955050,147,10,0.618
Google Ads,2022-07-30,CAMPAIGN955050,58,8,0.48600000000000004
Google Ads,2022-07-31,CAMPAIGN955050,24,3,0.17400000000000002
Google Ads,2022-08-01,CAMPAIGN955050,11,2,0.10400000000000001
Google Ads,2022-08-02,CAMPAIGN955084,1314,80,18.764
Google Ads,2022-08-03,CAMPAIGN955084,54,7,0.6560000000000001
Google Ads,2022-08-04,CAMPAIGN955084,19,2,0.142
Google Ads,2022-08-05,CAMPAIGN955084,13,0,0.0
Google Ads,2022-08-06,CAMPAIGN955178,336,38,4.896000000000001
Google Ads,2022-08-07,CAMPAIGN955178,300,63,7.497999999999999
Google Ads,2022-08-08,CAMPAIGN955178,35,6,0.48200000000000004
Google Ads,2022-08-09,CAMPAIGN955178,21,1,0.118
Google Ads,2022-08-10,CAMPAIGN955060,1553,206,9.938
Google Ads,2022-08-11,CAMPAIGN955060,224,31,1.8200000000000003
Google Ads,2022-08-12,CAMPAIGN955060,2,1,0.04000000000000001
Google Ads,2022-08-13,CAMPAIGN954849,7115,953,49.205999999999996
Google Ads,2022-08-14,CAMPAIGN954849,1341,217,9.824000000000002
Google Ads,2022-08-15,CAMPAIGN954849,333,43,1.75
Google Ads,2022-08-16,CAMPAIGN954849,102,5,0.18600000000000003
Google Ads,2022-08-17,CAMPAIGN954849,59,5,0.22600000000000003
Google Ads,2022-08-18,CAMPAIGN955082,1328,125,14.725999999999999
Google Ads,2022-08-19,CAMPAIGN955082,64,13,1.184
Google Ads,2022-08-20,CAMPAIGN955082,42,4,0.15800000000000003
Google Ads,2022-08-21,CAMPAIGN955082,23,2,0.134
Google Ads,2022-08-22,CAMPAIGN955110,985,70,12.01
Google Ads,2022-08-23,CAMPAIGN955110,24,1,0.434
Google Ads,2022-08-24,CAMPAIGN955110,23,2,0.30800000000000005
Google Ads,2022-08-25,CAMPAIGN955110,12,1,0.15400000000000003
Google Ads,2022-08-26,CAMPAIGN955110,2,0,0.0
Google Ads,2022-08-27,CAMPAIGN955138,732,57,10.51
Google Ads,2022-08-28,CAMPAIGN955138,130,12,2.216
Google Ads,2022-08-29,CAMPAIGN955138,12,0,0.0
Google Ads,2022-08-30,CAMPAIGN955138,4,1,0.16000000000000003
