Date,Campaign Advertiser ID,Campaign Key,Campaign Name,Adgroup Name,Creative Name,Impressions,Clicks,Media Cost,Website Clicks,Video Views,Video 25%,Video 75%,Video 100%,Video 50%,Post Engagement,Post Likes,Post Comments,Post Shares,ThruPlays
1/01/2022,300926997389937,23852851760650133,CAMPAIGN123230,ADGROUP346570,CREATIVE0049585,6295814,90302,967.2920002,66249,2453349,515406,153300,110004,232564,329861,1322,49,41,108059
2/01/2022,1424650924342391,23852820354680384,CAMPAIGN123587,ADGROUP346735,CREATIVE0049620,1573358,39234,179.8,182,1425094,16432,8154,3023,11007,540343,3027,142,938,95365
3/01/2022,300926997389937,23852818476410133,CAMPAIGN123186,ADGROUP346570,CREATIVE0049549,8211538,11226,442.208,7256,6710753,772781,209328,152531,325059,393999,1677,19,69,153756
4/01/2022,300926997389937,23852818476410133,CAMPAIGN123186,ADGROUP346570,CREATIVE0049578,6500422,11091,360.7919996,7567,5056337,545180,161993,122964,240667,290358,959,15,29,123947
5/01/2022,1424650924342391,23852816044010384,CAMPAIGN124306,ADGROUP346735,CREATIVE0049594,203238,18935,34.202,8531,137887,23260,13378,11202,16645,56209,344,13,98,17919
6/01/2022,1424650924342391,23852816044010384,CAMPAIGN124306,ADGROUP346735,CREATIVE0050588,13422,716,1.596,413,0,0,0,0,0,456,37,2,2,0
7/01/2022,716366792089476,23852709657430420,CAMPAIGN124060,ADGROUP346751,CREATIVE0050309,468649,7478,44.482,5418,0,0,0,0,0,5727,251,24,27,0
8/01/2022,716366792089476,23852709657430420,CAMPAIGN124060,ADGROUP346862,CREATIVE0050309,58327,830,5.318,644,0,0,0,0,0,671,21,2,2,0
9/01/2022,370808080163489,23852706012340080,CAMPAIGN123187,ADGROUP346571,CREATIVE0049550,8021359,11005,1599.800001,6201,6276212,3139968,962606,720811,1493712,973327,2062,43,135,721674
10/01/2022,370808080163489,23852701841740080,CAMPAIGN123653,ADGROUP346555,CREATIVE0049915,1317949,3914,87.27,2192,855106,125154,36360,27198,60548,105065,250,4,18,27477
11/01/2022,370808080163489,23852701841740080,CAMPAIGN123653,ADGROUP346555,CREATIVE0049933,1225926,2254,81.73,1226,832215,104189,26956,19497,47383,86357,291,5,7,19576
12/01/2022,370808080163489,23852701841740080,CAMPAIGN123653,ADGROUP346555,CREATIVE0050034,921621,3980,59.558,2136,545382,74650,22724,17177,38146,64312,204,2,17,17560
13/01/2022,370808080163489,23852701841740080,CAMPAIGN123653,ADGROUP346555,CREATIVE0050337,428944,1616,27.242,934,260644,36042,10706,8112,17938,30762,138,4,8,8223
14/01/2022,716366792089476,23852700878540420,CAMPAIGN124157,ADGROUP346795,CREATIVE0050396,348917,10808,69.8,9483,124983,24117,8392,5466,13000,39884,167,5,9,5597
15/01/2022,802711607231888,23852695172600075,CAMPAIGN124498,ADGROUP347077,CREATIVE0050968,44748,550,70.116,516,44197,38892,36305,35079,37103,39734,0,0,0,35792
16/01/2022,802711607231888,23852695172600075,CAMPAIGN124498,ADGROUP347077,CREATIVE0051042,31543,297,51.67,296,31113,28202,26641,26272,27126,28679,0,0,0,26282
17/01/2022,802711607231888,23852695172600075,CAMPAIGN124498,ADGROUP347113,CREATIVE0050968,23804,300,40.594,304,23681,21762,20739,19788,21073,22238,0,0,0,20509
